code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,n_assessments_early,mean_score_early,weighted_mean_score_early,final_coursework_score,total_clicks_early,active_days_early,clicks_dataplus,clicks_dualpane,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_htmlactivity,clicks_oucollaborate,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url,submission_rate_early,refs_forumng,macro_stats,clicks_freq_init
AAA,2013J,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,-29.0,,268,2.0,71.0,72.66666667,72.3,484,21,0.0,0.0,,5.0,0.0,104.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,92.0,21.0,0.3333333333,3.0204596127213224,-0.2532155651531315,low
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68.0,,268,2.0,71.0,69.33333333,59.8,792,36,0.0,0.0,0.0,41.0,0.0,203.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,67.0,48.0,0.3333333333,44.188054874564784,1.1688597016997295,low
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99.0,,268,2.0,68.0,66.33333333,59.0,127,11,0.0,0.0,,7.0,0.0,29.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,3.0,0.3333333333,6.983541198737792,0.7427484151886361,high
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31.0,,268,2.0,67.5,67.0,69.4,563,38,0.0,0.0,0.0,115.0,,147.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,44.0,11.0,0.3333333333,107.83471030415028,2.3140432559573587,low
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75.0,,268,2.0,64.0,64.33333333,67.3,157,8,0.0,0.0,,10.0,0.0,31.0,0.0,1.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.3333333333,13.789993931689398,1.6760862670559953,mid
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96.0,,268,2.0,85.0,84.33333333,83.8,1249,54,1.0,0.0,,11.0,0.0,222.0,0.0,4.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,40.0,4.0,0.3333333333,12.693360777678462,1.604879493321327,low
AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32.0,144.0,268,2.0,61.5,58.0,58.0,284,23,0.0,0.0,0.0,21.0,,60.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,40.0,11.0,0.3333333333,15.500668062949364,-0.9760637175033272,low
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61.0,,268,2.0,75.5,75.0,72.0,813,31,0.0,0.0,,386.0,0.0,113.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,39.0,10.0,0.3333333333,380.5728689702549,0.6335404405900983,low
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110.0,129.0,268,1.0,45.0,45.0,45.0,134,7,1.0,0.0,0.0,25.0,2.0,30.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.1666666667,28.659746276825786,1.048925425705978,low
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37.0,,268,2.0,70.5,72.33333333,75.3,810,32,1.0,0.0,0.0,152.0,0.0,170.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,83.0,39.0,0.3333333333,135.1953293712796,-0.1651399981152447,low
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-67.0,,268,2.0,62.5,63.0,70.6,2163,74,2.0,0.0,0.0,879.0,,349.0,0.0,2.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,138.0,40.0,0.3333333333,864.5169070783463,-1.1767056379640517,high
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36.0,,268,2.0,56.0,49.66666667,53.2,275,20,0.0,0.0,0.0,36.0,,58.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,0.3333333333,46.15845101542386,-1.6845140970267514,low
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132.0,,268,2.0,52.5,52.66666667,48.8,267,16,0.0,0.0,0.0,46.0,,63.0,0.0,2.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,31.0,4.0,0.3333333333,45.91810945474979,1.176753621924589,mid
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92.0,,268,2.0,74.5,73.66666667,73.28571429,445,41,0.0,0.0,,86.0,0.0,123.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,26.0,5.0,0.3333333333,83.81018021933247,-1.1388334018657844,low
AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138.0,58.0,268,1.0,52.0,52.0,52.0,155,9,0.0,0.0,0.0,56.0,,35.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.1666666667,52.30561731014165,1.8048561152922524,high
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174.0,158.0,268,2.0,69.0,69.33333333,72.8,1269,69,0.0,0.0,0.0,622.0,,262.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,7.0,0.3333333333,604.5515872515176,1.0218572767608038,mid
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44.0,,268,2.0,51.0,50.0,49.6,40,6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.3333333333,-3.4506542306202395,-0.4829390079613004,mid
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54.0,,268,2.0,80.5,80.0,79.4,1655,74,4.0,0.0,0.0,378.0,,387.0,0.0,2.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,5.0,0.3333333333,365.46839539083817,-0.4516782751524202,mid
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64.0,191.0,268,2.0,80.0,78.33333333,78.33333333,777,33,1.0,0.0,0.0,196.0,0.0,152.0,0.0,2.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,73.0,28.0,0.3333333333,196.3586632381912,1.004369208327918,mid
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52.0,,268,2.0,80.0,80.33333333,68.6,599,32,0.0,0.0,0.0,17.0,0.0,135.0,0.0,1.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,60.0,37.0,0.3333333333,18.37371975183504,0.5725011317170368,low
AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46.0,123.0,268,2.0,66.5,67.0,67.0,895,54,0.0,0.0,0.0,150.0,1.0,203.0,0.0,2.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,63.0,34.0,0.3333333333,153.3095962295268,1.2654766276956242,low
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64.0,,268,2.0,70.0,66.0,70.4,122,13,0.0,0.0,,6.0,0.0,27.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,0.3333333333,15.276048454717795,1.0151158561452287,low
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117.0,,268,2.0,59.0,58.66666667,70.9,683,42,1.0,0.0,0.0,172.0,0.0,186.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,43.0,28.0,0.3333333333,169.63683325396622,-0.4196861136859295,low
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-50.0,,268,2.0,63.5,64.66666667,71.1,507,41,0.0,0.0,0.0,77.0,1.0,97.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,67.0,33.0,0.3333333333,68.86494339261807,-1.4517327165947262,low
AAA,2013J,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,-45.0,,268,2.0,57.0,56.0,61.4,313,17,0.0,0.0,,24.0,,85.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,56.0,11.0,0.3333333333,16.435794445094157,0.4167888432280677,low
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-162.0,,268,2.0,81.0,80.33333333,80.1,2713,88,3.0,0.0,0.0,1212.0,0.0,552.0,0.0,3.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,143.0,72.0,0.3333333333,1185.75824133501,-0.0947237037962093,mid
AAA,2013J,M,North Region,HE Qualification,,35-55,0,60,N,Pass,-195.0,,268,2.0,79.5,77.66666667,81.7,2324,82,3.0,0.0,0.0,972.0,0.0,474.0,0.0,0.0,658.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,113.0,60.0,0.3333333333,951.3847742099684,-1.0780880356236038,mid
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92.0,,268,2.0,74.5,74.0,78.8,1467,56,0.0,0.0,0.0,171.0,0.0,241.0,0.0,0.0,935.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,15.0,0.3333333333,161.2361547239446,-0.4192244581512161,mid
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57.0,,268,2.0,39.5,35.66666667,36.0,101,8,0.0,0.0,0.0,8.0,0.0,24.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.3333333333,7.07335002900459,0.9119036934015604,low
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64.0,,268,2.0,60.0,59.66666667,51.7,967,64,0.0,0.0,,365.0,0.0,162.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,31.0,0.3333333333,360.8649266008224,-1.6674984572930438,mid
AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39.0,60.0,268,1.0,76.0,76.0,76.0,487,20,1.0,0.0,0.0,151.0,,53.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,5.0,0.1666666667,146.56970567113586,1.3786770511674895,mid
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128.0,,268,2.0,55.0,54.33333333,54.0,1038,54,0.0,0.0,,141.0,0.0,199.0,0.0,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,86.0,43.0,0.3333333333,135.40455248590874,-1.346412756209936,mid
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32.0,,268,2.0,50.0,44.33333333,46.6,365,19,0.0,0.0,,94.0,,73.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,25.0,2.0,0.3333333333,95.8679505403303,-2.6223196561598825,low
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12.0,,268,1.0,74.0,74.0,74.0,427,15,0.0,0.0,0.0,39.0,1.0,75.0,0.0,4.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,41.0,1.0,0.1666666667,37.16162200690524,1.5605072148609749,low
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109.0,,268,2.0,83.0,82.33333333,75.6,1318,45,4.0,0.0,,330.0,,222.0,0.0,11.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,73.0,47.0,0.3333333333,326.8760437776583,-1.1868335600106803,mid
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136.0,,268,2.0,89.0,89.33333333,89.4,4035,92,0.0,0.0,,1615.0,,933.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,339.0,164.0,0.3333333333,1585.156038368948,0.3363148109983645,low
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57.0,60.0,268,1.0,76.0,76.0,76.0,1434,49,0.0,0.0,0.0,330.0,0.0,360.0,0.0,3.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,136.0,62.0,0.1666666667,313.1967150639525,0.2907261144927036,mid
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180.0,,268,2.0,80.5,82.0,78.8,718,32,6.0,0.0,0.0,204.0,0.0,171.0,0.0,1.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,36.0,0.3333333333,207.7840838134012,-1.649841790896556,mid
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62.0,,268,2.0,70.5,69.0,66.7,1231,74,1.0,0.0,0.0,121.0,,307.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,111.0,71.0,0.3333333333,127.65328704730383,0.7187322512238434,mid
AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45.0,185.0,268,,,,50.0,777,23,0.0,0.0,0.0,134.0,,120.0,0.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0,22.0,,149.05107529230497,-0.1102443899461213,high
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54.0,,268,2.0,63.5,61.66666667,50.8,330,39,0.0,0.0,,88.0,0.0,117.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,47.0,2.0,0.3333333333,90.02166625743476,-0.480967713159632,mid
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68.0,,268,2.0,67.0,64.33333333,72.2,1009,50,1.0,0.0,0.0,286.0,,206.0,0.0,3.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,71.0,30.0,0.3333333333,279.25772120401706,-0.7967665248791974,mid
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51.0,,268,2.0,65.0,64.33333333,54.6,273,15,0.0,0.0,0.0,9.0,0.0,50.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,7.0,0.3333333333,10.088582284721427,0.3271986986242423,mid
AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169.0,,268,2.0,83.5,83.33333333,83.5,1520,73,2.0,0.0,,686.0,,293.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,55.0,62.0,0.3333333333,667.4119547233825,-0.2848044368385453,mid
AAA,2013J,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,-172.0,,268,2.0,65.0,65.66666667,61.7,879,38,0.0,0.0,,196.0,0.0,143.0,0.0,1.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,8.0,0.3333333333,192.3412774994567,-0.2706627732169444,low
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31.0,,268,2.0,63.0,64.66666667,74.8,103,14,0.0,0.0,,25.0,0.0,23.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.3333333333,18.26373855889773,0.7773414846896005,high
AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108.0,,268,2.0,58.0,53.66666667,60.7,223,17,0.0,0.0,0.0,28.0,0.0,70.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,15.0,0.3333333333,25.92824544027872,-1.1130638333248624,mid
